#item+conceptum+codicem,#status,#item+conceptum+dominium,#item+rem+i_la+i_lat+is_latn,#status+rem+accuratum+i_la+i_lat+is_latn,#status+rem+textum+i_la+i_lat+is_latn,#item+rem+i_pt+i_por+is_latn,#status+rem+accuratum+i_pt+i_por+is_latn,#status+rem+textum+i_pt+i_por+is_latn,#item+rem+i_en+i_eng+is_latn,#status+rem+accuratum+i_en+i_eng+is_latn,#status+rem+textum+i_en+i_eng+is_latn,#item+rem+i_es+i_spa+is_latn,#status+rem+accuratum+i_es+i_spa+is_latn,#status+rem+textum+i_es+i_spa+is_latn,#item+rem+i_ar+i_arb+is_arab,#status+rem+accuratum+i_ar+i_arb+is_arab,#status+rem+textum+i_ar+i_arb+is_arab,#item+rem+i_hi+i_hin+is_deva,#status+rem+accuratum+i_hi+i_hin+is_deva,#status+rem+textum+i_hi+i_hin+is_deva,#item+rem+i_sl+i_slv+is_latn,#status+rem+accuratum+i_sl+i_slv+is_latn,#status+rem+textum+i_sl+i_slv+is_latn
L10N_ego_summarius,2,L10N,Lingua Latina (Abecedarium Latinum),10,lat_rem_finale,Língua portuguesa (alfabeto latino),10,lat_rem_finale,English language (Latin script),10,lat_rem_finale,Idioma español (Alfabeto latino),10,lat_rem_finale,اللغة العربية,1,lat_rem_temporarium_de_non_nativum,हिन्दी भाषा (देवनागरी लिपि),1,lat_rem_temporarium_de_non_nativum,Slovenščina (Latinska abeceda),1,lat_rem_temporarium_de_non_nativum
L10N_ego_codicem,2,L10N,lat-Latn,10,lat_rem_finale,por-Latn,10,lat_rem_finale,eng-Latn,10,lat_rem_finale,spa-Latn,10,lat_rem_finale,arb-Arab,10,lat_rem_finale,hin-Deva,10,lat_rem_finale,slv-Latn,10,lat_rem_finale
L10N_ego_linguam_nomen,2,L10N,Lingua Latina,10,lat_rem_finale,Língua portuguesa,10,lat_rem_finale,English language,10,lat_rem_finale,Idioma español,10,lat_rem_finale,اللغة العربية,1,lat_rem_temporarium_de_non_nativum,हिन्दी भाषा,1,lat_rem_temporarium_de_non_nativum,Slovenščina,1,lat_rem_temporarium_de_non_nativum
L10N_ego_scriptum_nomen,2,L10N,Abecedarium Latinum,10,lat_rem_finale,Alfabeto latino,10,lat_rem_finale,Latin script,10,lat_rem_finale,Alfabeto latino,10,lat_rem_finale,,0,lat_rem_vacuum,देवनागरी लिपि,1,lat_rem_temporarium_de_non_nativum,Latinska abeceda,1,lat_rem_temporarium_de_non_nativum
L10N_ego_patriam_UN_M49_numerum,2,L10N,001,10,lat_rem_finale,001,10,lat_rem_finale,001,10,lat_rem_finale,001,10,lat_rem_finale,001,10,lat_rem_finale,001,10,lat_rem_finale,001,10,lat_rem_finale
L10N_ego_patriam_UN_P_codicem,2,L10N,∅,10,lat_rem_finale,∅,10,lat_rem_finale,∅,10,lat_rem_finale,∅,10,lat_rem_finale,∅,10,lat_rem_finale,∅,10,lat_rem_finale,∅,10,lat_rem_finale
I18N_testum_salve_mundi_testum_I18N,2,I18N,Salvi mundi!,10,lat_rem_finale,Olá mundo!,10,lat_rem_finale,"Hello, World!",10,lat_rem_finale,¡Hola mundo!,10,lat_rem_finale,,0,lat_rem_vacuum,नमस्ते दुनिया,1,lat_rem_temporarium_de_non_nativum,,0,lat_rem_vacuum
I18N_إختبار_טעסט_测试_테스트_испытание_I18N,2,I18N,"Testum, I, II, III",10,lat_rem_finale,"Teste, 1, 2, 3",10,lat_rem_finale,"Test, 1, 2, 3",10,lat_rem_finale,"Prueba, 1, 2, 3",10,lat_rem_finale,,0,lat_rem_vacuum,"परीक्षा, १, २, ३",1,lat_rem_temporarium_de_non_nativum,,0,lat_rem_vacuum
I18N_०१२३४५६७८९_〇一二三四五六七八九十百千万亿_-1+2/3*4_٩٨٧٦٥٤٣٢١٠_零壹贰叁肆伍陆柒捌玖拾佰仟萬億_I18N,2,I18N,"I,V, X, L, C, D, M",10,lat_rem_finale,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",10,lat_rem_finale,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",10,lat_rem_finale,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",10,lat_rem_finale,,0,lat_rem_vacuum,"०, १, २, ३, ४, ५, ६, ७, ८, ९",1,lat_rem_temporarium_de_non_nativum,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",1,lat_rem_temporarium_de_non_nativum
UN_codicem_anglicum_IOM_HTCDS_abbreviationem,1,UN,,,,PDCTH,4,lat_rem_temporarium,HTCDS,10,lat_rem_finale,,,,,,,,,,,,
UN_codicem_anglicum_IOM_HTCDS_slug,1,UN,,,,PDCTH,4,lat_rem_temporarium,HTCDS,10,lat_rem_finale,HTCDS,1,lat_rem_temporarium_de_non_nativum,HTCDS,1,lat_rem_temporarium_de_non_nativum,HTCDS,1,lat_rem_temporarium_de_non_nativum,HTCDS,1,lat_rem_temporarium_de_non_nativum
